mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_108214,OCC12CCC(OC1)O2,3.0353,1.48151,1.30512,2.1092,69.3,-0.2529,0.0728,0.3258,1034.1438,0.161578,-460.170924,-460.163336,-460.162392,-460.202882,30.164
gdb_89754,OC1CC2(CC2)C11CN1,2.45585,1.53684,1.13776,1.2483,79.49,-0.2391,0.0699,0.309,1134.3003,0.170969,-403.091166,-403.082611,-403.081667,-403.12417,33.589
gdb_72228,CC12CC3OCC1(C)C23,2.46217,1.89572,1.31476,1.8097,81.65,-0.2335,0.0848,0.3183,1044.1348,0.183176,-387.073239,-387.065046,-387.064102,-387.105303,32.866
gdb_7336,CC(=O)C(=O)COC,4.75449,1.09148,0.90259,0.9346,63.18,-0.2422,-0.0847,0.1576,1259.6819,0.125907,-420.890457,-420.880865,-420.879921,-420.926116,31.5
gdb_132635,c1c(c(cnc1O)N)F,3.19787,1.34904,0.94977,1.9804,69.17,-0.2035,-0.0164,0.1871,1125.56,0.102105,-478.036714,-478.029238,-478.028294,-478.068434,29.091
gdb_19173,OC1C2C(O)C1C2=O,3.89946,1.84903,1.49488,3.2245,57.6,-0.2392,-0.0102,0.2291,819.3691,0.107069,-419.625212,-419.618508,-419.617564,-419.655758,26.424
gdb_99006,COC(=O)CC(=O)CO,3.82937,0.80745,0.73261,3.7895,66.85,-0.2674,-0.0362,0.2312,1545.0591,0.132688,-496.143201,-496.133101,-496.132157,-496.180328,34.003
gdb_95446,[NH3+]C1CNC=C1C([O-])=O,2.7216,1.40859,0.98687,7.4064,73.13,-0.212,-0.0131,0.1989,1160.1573,0.138631,-455.187091,-455.178866,-455.177922,-455.220102,31.031
gdb_35,CCC=O,26.14564,4.2893,4.12773,2.6741,35.83,-0.25,-0.0205,0.2295,333.3276,0.084175,-193.075202,-193.070116,-193.069171,-193.102798,15.954
gdb_5334,c1c(nc2n1CC2)N,6.39258,1.63779,1.33748,2.8831,69.46,-0.1799,0.0361,0.216,890.9275,0.121846,-358.843125,-358.836377,-358.835433,-358.873894,25.724
gdb_13133,CC1COC1CCO,3.87337,1.11644,0.94589,1.0289,71.34,-0.2427,0.0812,0.3239,1266.5188,0.176091,-386.118038,-386.108786,-386.107841,-386.152897,32.607
gdb_40433,C1CC1C12COCC1N2,3.99415,1.18883,1.06218,1.1585,78.43,-0.2449,0.0885,0.3334,1186.4312,0.173248,-403.114979,-403.107187,-403.106243,-403.147425,30.689
gdb_38453,C1C2NC2C11CCOC1,3.52975,1.30105,1.21912,1.4737,78.09,-0.2308,0.0816,0.3124,1099.2869,0.173193,-403.102718,-403.095012,-403.094068,-403.135314,30.138
gdb_50592,O=CC1CCC2COC12,3.09597,1.30504,1.05753,3.9474,75.25,-0.2407,-0.0199,0.2209,1155.7686,0.160542,-423.031767,-423.023853,-423.022909,-423.064863,29.802
gdb_9374,CC(NCCO)C#N,3.56101,1.04691,0.84872,4.3779,69.59,-0.2557,0.0203,0.276,1328.1281,0.153346,-381.118927,-381.1097,-381.108755,-381.153522,32.569
gdb_107577,CCC12CC1COC2=N,2.63756,1.54374,1.12623,2.9221,80.21,-0.2515,0.0279,0.2795,1139.6761,0.172294,-403.167227,-403.158775,-403.157831,-403.200172,32.545
gdb_55892,NC(=O)NC1CC1C#N,2.82874,1.04487,0.8514,1.403,71.59,-0.2488,0.0201,0.2689,1332.0822,0.124266,-434.105716,-434.096467,-434.095523,-434.141411,33.001
gdb_74688,CC1=NC2CC(=O)C2O1,3.33682,1.37282,1.16191,1.7552,70.0,-0.2437,-0.0431,0.2006,1073.0377,0.123972,-437.912522,-437.904766,-437.903822,-437.945362,28.788
gdb_11130,C1C(CN1C=O)CO,6.59358,0.98988,0.92624,4.2563,67.33,-0.239,0.0278,0.2668,1224.0619,0.141864,-400.999723,-400.991159,-400.990215,-401.034337,29.27
gdb_95179,CC1COC2CC2C1=O,2.15534,1.83774,1.30089,1.8934,75.35,-0.2372,-0.0194,0.2177,1043.1385,0.159938,-423.035109,-423.026984,-423.02604,-423.06772,31.454
gdb_25234,c1c[nH]c2c1C(=O)CO2,3.30813,1.65856,1.11252,4.7319,70.4,-0.2094,-0.0143,0.1951,999.9381,0.103773,-436.738332,-436.731669,-436.730725,-436.769366,26.078
gdb_13668,CC1OC1CCC#N,5.50706,0.8945,0.83247,4.1986,69.58,-0.277,0.0354,0.3124,1354.5906,0.140966,-363.864925,-363.85624,-363.855296,-363.899102,30.302
gdb_94607,OC1C[NH2+]C1CC([O-])=O,3.23942,1.02977,0.85307,6.4496,68.63,-0.2462,0.0305,0.2767,1326.6476,0.148155,-476.232637,-476.22388,-476.222936,-476.267492,31.928
gdb_132323,c1c(cc(oc1=O)F)F,2.02191,1.74914,0.93783,3.2276,57.77,-0.2495,-0.0601,0.1894,1070.2649,0.06404,-541.810654,-541.803841,-541.802897,-541.84226,25.441
gdb_2188,CC1NC(=O)C1O,4.07184,2.54646,1.81395,2.7306,54.2,-0.2494,0.0209,0.2703,701.4617,0.112759,-361.731388,-361.724011,-361.723067,-361.762805,26.068
gdb_27504,NC1=NC(=[NH2+])[N-]C(=N)O1,2.09918,1.99471,1.02296,5.6679,70.98,-0.2172,-0.01,0.2073,1077.8989,0.102216,-466.256618,-466.248062,-466.247118,-466.290296,30.845
gdb_102806,CCC(CC=O)C(C)O,2.13408,1.02157,0.77083,3.2883,82.68,-0.2457,-0.0165,0.2292,1545.7912,0.20222,-425.440942,-425.42967,-425.428726,-425.478271,40.211
gdb_129139,N=C1N=NN2CCC2=N1,4.18489,1.51174,1.15474,5.4,73.68,-0.2468,-0.0684,0.1784,996.2253,0.103027,-428.998943,-428.992256,-428.991312,-429.030138,25.602
gdb_126059,CC1NCC2=C1ON=N2,3.02151,1.62634,1.11701,3.978,72.12,-0.2346,-0.041,0.1936,1047.6267,0.124637,-434.032967,-434.024872,-434.023928,-434.06616,29.125
gdb_104045,CC1(CO)CC2CCC12,3.25891,1.15953,1.05495,1.4131,85.06,-0.2584,0.0731,0.3315,1259.2946,0.205692,-388.262432,-388.253131,-388.252187,-388.296363,36.086
gdb_103100,CCC1(N)C(O)C1C#N,2.19813,1.22719,1.17881,3.7153,77.03,-0.2535,0.026,0.2796,1204.1266,0.157946,-419.203509,-419.193489,-419.192545,-419.238181,36.754
gdb_28340,Cc1ccc(c(=O)[nH]1)N,3.19982,1.35903,0.96039,3.0471,83.89,-0.1815,-0.015,0.1665,1194.6149,0.13811,-418.095503,-418.087278,-418.086334,-418.127929,31.954
gdb_52888,CC#CC1(CC1O)C#C,2.03593,1.21247,0.85907,1.5934,85.79,-0.2318,0.0264,0.2581,1387.5655,0.131609,-384.612318,-384.602049,-384.601104,-384.648225,36.524
gdb_119780,COCC1=NC(C)CO1,3.29125,0.97604,0.93094,1.5373,76.7,-0.2459,0.0157,0.2616,1385.1893,0.170323,-440.293228,-440.283567,-440.282623,-440.329437,33.74
gdb_127915,CN=c1[nH]c(no1)CO,4.90235,0.91338,0.7978,2.7125,70.64,-0.2179,-0.0052,0.2126,1408.1948,0.123589,-471.185718,-471.176588,-471.175644,-471.220619,31.772
gdb_47714,N=C1OCCCC11CN1,2.50988,1.73356,1.161,3.1094,76.98,-0.2408,0.014,0.2549,1077.1855,0.162305,-419.205833,-419.198038,-419.197094,-419.238219,30.533
gdb_67997,CC12OC(=N)C3NC1C23,2.88746,1.84652,1.34408,3.8748,73.1,-0.2267,0.0179,0.2446,964.4917,0.137603,-417.967581,-417.960482,-417.959538,-417.998759,28.767
gdb_98308,COC(=O)C(O)C1CN1,3.09507,1.06754,0.91325,2.6149,68.88,-0.2438,-0.0034,0.2404,1319.8186,0.146798,-476.220681,-476.211216,-476.210272,-476.255814,33.343
gdb_45320,O=C1CC2CC=CCN12,3.025,1.53937,1.13253,3.7557,78.33,-0.2402,0.0119,0.2521,1076.5275,0.15034,-401.986895,-401.979503,-401.978559,-402.01895,28.784
gdb_22051,CCC(C)(O)C(C)=NO,2.6942,1.00525,0.94271,1.7427,81.87,-0.2492,0.0058,0.2549,1404.2337,0.189869,-441.458084,-441.446757,-441.445813,-441.494425,41.455
gdb_128087,CNC(C)C1=NC=NO1,3.78678,0.99062,0.95676,2.3408,73.71,-0.2339,-0.0211,0.2127,1314.6968,0.147896,-435.257772,-435.24878,-435.247835,-435.292585,31.772
gdb_59918,CC(O)CC(=O)NC=N,2.75906,0.93286,0.71947,3.1985,77.26,-0.2485,-0.0115,0.237,1561.09,0.158549,-456.388161,-456.378262,-456.377318,-456.423456,35.631
gdb_127677,Cn1c(ncn1)OC=O,3.58424,1.17547,0.89018,1.9023,65.86,-0.2607,-0.0282,0.2324,1209.4843,0.101394,-470.047217,-470.038896,-470.037952,-470.082291,27.643
gdb_10501,CC#CC1(CC1)OC,3.07411,1.32653,1.0388,1.3638,78.02,-0.2286,0.0455,0.2741,1199.0652,0.150967,-347.75562,-347.746178,-347.745234,-347.790921,32.926
gdb_43348,O=C1C=CC2CCC1O2,2.83642,1.7832,1.44022,3.6386,73.04,-0.2303,-0.055,0.1753,938.0198,0.138972,-421.862618,-421.855788,-421.854844,-421.893884,27.267
gdb_22145,CC(=NO)CCCC#N,4.71492,0.55127,0.53916,3.8331,80.69,-0.2518,0.0001,0.2519,2009.3588,0.156962,-419.19291,-419.182406,-419.181461,-419.229948,36.302
gdb_62051,NC(CCC1CO1)C#N,4.22659,0.66362,0.62531,3.7552,77.05,-0.2704,0.027,0.2974,1767.4804,0.158832,-419.19061,-419.180831,-419.179887,-419.226619,34.513
gdb_63673,CC1(O)CC1CCC#N,4.36828,0.6664,0.63239,4.5034,80.81,-0.261,0.0376,0.2985,1761.0837,0.168854,-403.155069,-403.14499,-403.144045,-403.190658,36.692
gdb_70381,CC12CC1CC2(O)C#C,2.44081,1.51544,1.31765,1.0997,81.53,-0.2489,0.0337,0.2825,1077.7179,0.156693,-385.828648,-385.819472,-385.818527,-385.86179,35.682
gdb_104823,CCC1(CO)COC1=O,1.87303,1.51858,1.27918,3.2364,70.46,-0.2701,0.0066,0.2766,1137.9056,0.158169,-460.187876,-460.178319,-460.177375,-460.222503,34.329
gdb_57912,CC(O)C(=O)C1CCC1,3.33094,0.98496,0.85216,3.0435,79.59,-0.2584,-0.0287,0.2296,1423.3924,0.181519,-424.238402,-424.228778,-424.227834,-424.273647,35.403
gdb_105255,CCC1(CC1O)N1CC1,2.08739,1.39697,1.06039,0.5287,82.89,-0.2231,0.0803,0.3034,1259.8963,0.192579,-404.29189,-404.282117,-404.281172,-404.326206,37.246
gdb_111976,CCC1C=CC(O)C1O,2.3622,1.32,1.07579,2.3598,79.53,-0.2516,-0.002,0.2497,1234.4985,0.182927,-424.236646,-424.227441,-424.226497,-424.270581,35.353
gdb_2796,CC1COC1CO,4.28029,2.04792,1.5593,2.7308,59.76,-0.2454,0.0659,0.3113,818.1751,0.148384,-346.831172,-346.823604,-346.82266,-346.863037,27.262
gdb_32889,CCCc1ccn(c1)C,4.9636,0.73819,0.68273,1.9543,91.51,-0.1966,0.0478,0.2444,1752.7528,0.19443,-367.25774,-367.247787,-367.246843,-367.293723,35.945
gdb_93327,OC1CCC(=O)C1C#N,2.26099,1.67911,1.11678,4.8806,69.06,-0.2632,-0.0395,0.2237,1072.3079,0.124171,-437.928811,-437.92051,-437.919566,-437.962203,30.621
gdb_83284,CC1CCC2C(O)C2O1,2.63819,1.42428,1.25008,2.0057,77.82,-0.231,0.0746,0.3056,1125.0632,0.183634,-424.218219,-424.209778,-424.208834,-424.250886,33.51
gdb_67558,CC12C3CC3C3C1CC23,2.8025,1.95319,1.45496,0.2298,85.29,-0.2475,0.1007,0.3482,977.1947,0.18498,-349.900203,-349.893219,-349.892275,-349.930925,30.329
gdb_124298,CC(=O)Cc1cnn[nH]1,4.8806,0.97062,0.82931,6.48,70.93,-0.2488,-0.0408,0.208,1335.6674,0.124463,-434.091494,-434.083168,-434.082224,-434.125564,29.549
gdb_1772,NC1CC1(N)C#N,4.84862,1.95478,1.75602,5.4701,58.74,-0.2386,0.0318,0.2705,745.4497,0.114517,-320.740782,-320.733558,-320.732614,-320.771532,26.919
gdb_24694,c1c2c(ncn1)NCC2,3.81446,1.59396,1.14601,4.0109,77.75,-0.2209,-0.0179,0.203,1014.9378,0.129769,-397.002444,-396.995896,-396.994952,-397.033356,25.792
gdb_61513,OC(CC(O)C=O)C=O,2.94936,0.86713,0.71155,1.661,66.73,-0.2791,-0.0566,0.2225,1510.0434,0.131769,-496.103016,-496.093204,-496.09226,-496.139139,34.185
gdb_25945,NC(=O)N1C=COC1=N,2.97629,1.63418,1.05494,1.8596,65.35,-0.2181,0.0047,0.2228,1037.5121,0.10236,-470.073249,-470.065709,-470.064765,-470.105446,28.632
gdb_77572,CC1C2(O)CC2C1(C)O,2.24306,1.44441,1.28414,2.3965,78.18,-0.2419,0.0699,0.3118,1136.613,0.179459,-424.197053,-424.18724,-424.186296,-424.230613,38.147
gdb_12525,CC1CC=CC=CC1,3.22973,1.81878,1.2322,0.6115,83.71,-0.2092,-0.0197,0.1896,1023.4655,0.178786,-311.890098,-311.882139,-311.881195,-311.92516,30.349
gdb_92281,CC1CC2OC=NC2C1,3.60028,1.26889,1.07552,1.8505,77.97,-0.2451,0.0267,0.2719,1169.7646,0.173988,-403.188948,-403.181268,-403.180324,-403.221288,30.164
gdb_83654,OC1C2CCC2C11CO1,2.36114,1.72194,1.26542,2.7096,74.19,-0.2475,0.0516,0.299,1047.9232,0.159164,-422.970339,-422.962287,-422.961343,-423.002972,31.442
gdb_88338,CN1CC1C(=O)NC=N,4.27494,0.82234,0.79373,0.5967,80.5,-0.2358,-0.0287,0.2072,1492.0875,0.147684,-435.269728,-435.260529,-435.259584,-435.304301,33.107
gdb_84942,NC1C=CCCOC1=O,2.28054,1.70117,1.22404,3.956,73.61,-0.2446,-0.0126,0.2319,1062.4988,0.149157,-439.099071,-439.090544,-439.0896,-439.132816,31.672
gdb_18831,NC1=NC2C3OC1C23,4.50804,2.274,1.88607,1.8368,61.39,-0.214,0.0122,0.2261,709.243,0.109539,-378.675315,-378.669508,-378.668564,-378.704838,23.861
gdb_58840,CC(C)C12CC=CC1O2,2.99423,1.24713,1.18649,1.7527,82.01,-0.2408,0.0047,0.2455,1184.1159,0.181793,-387.090063,-387.081221,-387.080277,-387.123365,34.397
gdb_46047,O=C1CC(CN1)N1CC1,4.51768,0.96556,0.8288,4.0801,76.78,-0.238,0.0362,0.2742,1365.3572,0.161073,-419.221121,-419.212883,-419.211939,-419.254484,31.115
gdb_88887,OC1CC1N=C1CCO1,4.55206,0.85234,0.77677,4.0661,78.65,-0.2271,0.0148,0.2419,1479.3041,0.147332,-439.056888,-439.048385,-439.047441,-439.090825,31.555
gdb_15105,C#CCC#CC1CO1,8.42044,0.73656,0.70885,1.487,73.04,-0.2532,0.0158,0.2691,1525.1894,0.104552,-345.307269,-345.298837,-345.297893,-345.342175,29.006
gdb_41273,C1OC2C3OC4CC12C34,3.49976,1.88345,1.50984,2.1926,70.71,-0.2362,0.0584,0.2946,876.1149,0.137993,-421.735809,-421.729708,-421.728764,-421.76596,25.71
gdb_109924,CC1CC(C)(O)C1CO,2.18122,1.30689,1.01166,1.3609,81.78,-0.2497,0.0698,0.3195,1305.1356,0.203297,-425.41692,-425.406349,-425.405405,-425.451769,39.961
gdb_103949,COC1(C)CC2(CN2)C1,3.58375,1.02204,0.95859,2.5106,83.06,-0.2395,0.0799,0.3195,1345.6976,0.192638,-404.30381,-404.294272,-404.293328,-404.33793,36.491
gdb_72449,CC12OCC(O1)C1OC21,2.53512,2.21023,1.58919,1.7992,65.85,-0.2548,0.0863,0.3411,880.0248,0.136741,-458.943533,-458.936702,-458.935758,-458.974358,27.933
gdb_103041,OCC1(C#N)C2CC1O2,2.45973,1.65315,1.15835,4.069,69.12,-0.2643,0.012,0.2763,1047.1772,0.12373,-437.810389,-437.80237,-437.801426,-437.843122,30.159
gdb_65455,OC1(CC1NC=O)C#C,3.28102,0.93452,0.85134,4.1917,75.41,-0.2418,0.0167,0.2586,1363.764,0.1215,-437.851085,-437.841742,-437.840798,-437.885866,34.063
gdb_21270,COc1conc1O,3.52683,1.89633,1.24302,2.4967,56.32,-0.2306,0.0019,0.2326,905.0291,0.095334,-435.709031,-435.701904,-435.70096,-435.740576,25.835
gdb_3211,OC1C2CN2C1=O,3.54485,3.52494,2.13434,2.6297,50.0,-0.2431,-0.0216,0.2216,603.575,0.089909,-360.47888,-360.472707,-360.471763,-360.508877,22.322
gdb_133740,COC(C#N)C(F)(F)F,2.13446,1.43635,1.03597,3.3821,52.06,-0.3091,-0.0064,0.3027,1113.4431,0.083663,-584.242805,-584.23379,-584.232846,-584.277562,30.44
gdb_33634,N#CC12C3CC1=CCN23,3.14759,1.59489,1.40681,5.0537,77.24,-0.2379,-0.0709,0.167,943.0195,0.113396,-379.554447,-379.547656,-379.546712,-379.58553,26.893
gdb_66285,OC1(CCOC1=O)C#N,2.12363,1.68396,1.43939,4.1089,61.43,-0.2979,-0.036,0.2619,967.2609,0.101047,-473.868528,-473.860599,-473.859655,-473.901156,28.926
gdb_99933,CCC(C)(C)C#CC#C,3.47545,0.7105,0.68171,1.2942,102.17,-0.2383,-0.0063,0.232,1765.1709,0.178683,-349.915203,-349.9042,-349.903256,-349.951085,40.531
gdb_125791,Cc1c2c(on1)COC2,3.27882,1.49181,1.04546,2.0248,71.33,-0.2428,-0.0093,0.2335,1099.9953,0.125389,-437.871792,-437.864153,-437.863209,-437.904297,27.883
gdb_131805,c1c(con1)CCCO,5.51427,0.63547,0.60978,4.319,73.98,-0.2546,-0.0087,0.2459,1783.7373,0.147649,-439.072957,-439.063991,-439.063047,-439.108316,31.529
gdb_63588,CC1(C)OC11CCOC1,3.13675,1.2306,1.03827,1.7152,78.45,-0.2519,0.0776,0.3295,1235.9367,0.18123,-424.224367,-424.215111,-424.214166,-424.258373,34.87
gdb_52979,CC#CC12OC1C1OC21,5.07601,0.90074,0.8448,3.6133,76.5,-0.2342,0.0078,0.242,1374.3386,0.109499,-420.500302,-420.492067,-420.491123,-420.534738,29.842
gdb_7966,CC1CC(C)=C(C)C1,3.17431,1.54816,1.09776,0.1439,85.76,-0.2145,0.039,0.2534,1166.2272,0.19968,-313.107591,-313.098416,-313.097472,-313.140908,34.435
gdb_119019,CCCC1(CC#N)CO1,1.85845,1.19582,0.83143,2.3082,79.06,-0.2825,0.0262,0.3087,1447.4074,0.169194,-403.151977,-403.142052,-403.141108,-403.188083,35.422
gdb_13145,COCC1COC1C,3.95184,1.16174,0.98788,1.9822,71.93,-0.2412,0.0847,0.3259,1239.5986,0.175674,-386.110412,-386.10124,-386.100296,-386.144961,32.106
gdb_115121,CCC1COC(=N)C1=O,3.07822,1.23883,0.9201,4.3709,74.67,-0.2541,-0.0681,0.186,1262.5911,0.147634,-439.119497,-439.110752,-439.109808,-439.153457,31.897
gdb_11573,COC(C)CC1CO1,3.7264,1.08742,0.93969,2.8042,71.7,-0.251,0.079,0.33,1293.4046,0.174618,-386.109955,-386.100459,-386.099515,-386.145041,33.284
gdb_43226,O=C1C2CCCC1C=C2,2.19575,1.83375,1.78978,2.8898,78.73,-0.233,-0.0029,0.2301,940.4189,0.162755,-385.930699,-385.923667,-385.922723,-385.961801,29.0
gdb_77690,CC1(O)CC2(CC2)C1O,2.5966,1.3263,1.17733,1.1637,79.01,-0.248,0.071,0.3191,1170.7122,0.180369,-424.20225,-424.192691,-424.191747,-424.23583,37.266
gdb_95933,OC1CCCC1(O)C#N,2.31122,1.50778,1.19202,4.1412,71.56,-0.2712,0.011,0.2822,1097.5791,0.147625,-439.108354,-439.099346,-439.098401,-439.142531,33.57
gdb_80641,OC1C2CC(O2)C1C#N,2.88486,1.60752,1.29414,5.1658,68.03,-0.2679,0.0248,0.2927,980.1663,0.125807,-437.871472,-437.864168,-437.863224,-437.903318,28.388
gdb_116851,CCCC#CC(=O)OC,5.22947,0.52117,0.47957,2.5307,85.43,-0.2621,-0.0284,0.2337,2305.4522,0.156553,-423.036163,-423.025355,-423.02441,-423.074425,36.086
gdb_120450,COCC1CC(C)(O)C1,4.19078,0.71137,0.70411,1.5479,83.7,-0.2502,0.0739,0.324,1742.722,0.203282,-425.409914,-425.399447,-425.398503,-425.445694,38.621
gdb_93318,CC1COC(=O)C1C#N,2.14721,1.69152,1.12628,5.3344,68.56,-0.2865,-0.0201,0.2664,1085.5766,0.124882,-437.945195,-437.936903,-437.935959,-437.978465,29.962
gdb_116367,CCC1OCCN=CO1,3.22191,1.20047,0.9252,1.5593,77.48,-0.2441,0.0152,0.2593,1297.5491,0.171538,-440.296286,-440.287476,-440.286532,-440.330125,32.707
gdb_71332,CC12CN3C1C(C=O)C23,3.04635,1.57438,1.21788,1.2577,76.77,-0.2384,-0.0339,0.2044,1037.8991,0.146502,-401.858024,-401.850069,-401.849125,-401.890575,30.229
gdb_104219,CCC1(O)CCC11CO1,2.55481,1.29776,1.15476,3.0676,78.38,-0.2516,0.0621,0.3138,1201.5395,0.180255,-424.194117,-424.184568,-424.183624,-424.228244,36.211
gdb_86261,CC1CC(C)C1(C)C#C,1.71875,1.61024,1.11877,0.6837,92.1,-0.2484,0.0533,0.3018,1267.2317,0.203364,-351.126221,-351.115901,-351.114957,-351.160534,39.837
gdb_20693,Cc1cn[nH]c(=O)n1,3.87795,1.99569,1.32844,4.2598,63.25,-0.2561,-0.0793,0.1768,861.7276,0.096935,-394.820621,-394.813814,-394.81287,-394.851966,24.577
gdb_37114,C1C=CC23NC12C1NC31,3.12518,1.82386,1.78469,2.1412,75.38,-0.2304,0.0183,0.2487,859.9087,0.139027,-380.780452,-380.774133,-380.773189,-380.810707,26.865
gdb_105148,OCC1(NC1C#C)C#N,2.42768,1.23435,0.96415,3.7829,74.13,-0.2705,-0.012,0.2585,1213.0498,0.11102,-416.746453,-416.737371,-416.736427,-416.780669,32.675
gdb_33991,N#CC12OC1CC21CO1,2.43413,1.74433,1.21212,4.2708,67.29,-0.2817,-0.0132,0.2685,997.8417,0.099716,-436.622942,-436.615517,-436.614572,-436.655021,27.807
gdb_95852,CC1CNCC(N1)C#N,2.36769,1.37608,1.10941,3.7424,78.88,-0.2136,0.0266,0.2402,1187.0696,0.173707,-399.337645,-399.329004,-399.32806,-399.370765,33.253
gdb_4968,Cc1cncnc1C,3.24316,2.27982,1.36124,2.864,72.78,-0.2437,-0.03,0.2137,890.218,0.132017,-342.854269,-342.846917,-342.845973,-342.885751,27.088
gdb_127217,Cn1c(=O)nnoc1=O,2.42385,2.0467,1.11746,1.9591,58.98,-0.3041,-0.1171,0.187,967.6443,0.075663,-505.945366,-505.937361,-505.936417,-505.979268,27.316
gdb_126335,CCc1c[nH]ncc1=O,2.89281,1.40034,1.014,4.9452,78.84,-0.2263,-0.0379,0.1884,1164.9416,0.13792,-418.04485,-418.036722,-418.035778,-418.07779,30.398
gdb_132100,CC1=C(F)OC(=N)C=C1,3.0104,1.42741,0.97414,2.9286,75.31,-0.2119,-0.0445,0.1674,1139.5159,0.112046,-461.95216,-461.944275,-461.94333,-461.984773,29.396
gdb_115516,OCC1CCC(CO)C1,4.34881,0.75211,0.69487,2.4715,81.96,-0.2608,0.0774,0.3382,1662.9332,0.206171,-425.43208,-425.42202,-425.421075,-425.468368,37.007
gdb_31188,c1nc(c(o1)CO)C=O,1.99483,1.73475,0.94753,4.9504,66.56,-0.2505,-0.0547,0.1959,1145.3587,0.100914,-473.851572,-473.843559,-473.842614,-473.884933,28.163
gdb_110500,CC12CC3C(C1CO)N23,2.68749,1.37748,1.15288,1.5081,77.57,-0.239,0.0631,0.3021,1146.8079,0.171158,-403.089184,-403.08066,-403.079716,-403.122327,32.813
gdb_102152,C[NH2+]C(CC#N)C([O-])=O,2.43144,1.14408,0.81489,3.1018,68.89,-0.261,-0.003,0.258,1344.5962,0.135566,-455.186374,-455.176876,-455.175932,-455.221755,33.149
gdb_20933,CCNc1cnn[nH]1,7.4995,1.09125,0.96564,5.829,67.87,-0.2132,0.0164,0.2296,1177.4428,0.132202,-376.094539,-376.08677,-376.085826,-376.127176,27.928
gdb_80346,NC12C(O)C1NC2C#N,2.22514,1.54253,1.3586,6.4964,69.16,-0.2293,0.0101,0.2394,1024.6592,0.124667,-434.009759,-434.001338,-434.000393,-434.042551,31.98
gdb_71972,CC12CN3CC1(C#C)C23,2.8017,1.66248,1.2047,1.415,83.71,-0.2223,0.0335,0.2558,1051.2221,0.146987,-364.708241,-364.700219,-364.699275,-364.740334,31.827
gdb_95980,CC1CCOC1C(N)=O,2.27768,1.57116,1.11165,3.1619,74.47,-0.2329,0.0301,0.263,1149.2149,0.17204,-440.333293,-440.324257,-440.323313,-440.36761,34.009
gdb_133848,CC12C3C1N1CC3N=C21,3.70013,1.86033,1.68606,3.0732,75.66,-0.2022,-0.0821,0.1201,859.4671,0.136508,-380.721537,-380.714912,-380.713968,-380.751987,27.664
gdb_113831,CCN1CC1C1NC1C,3.99603,0.81652,0.73022,2.3868,88.51,-0.2183,0.0722,0.2905,1656.5974,0.205024,-384.415422,-384.405306,-384.404362,-384.451343,37.201
gdb_103644,COC1(C)CC(O)C1O,2.5973,1.21682,1.11897,3.3521,74.27,-0.2432,0.0717,0.3149,1221.5042,0.18036,-461.342148,-461.332326,-461.331382,-461.376438,37.297
gdb_56438,CC(C#N)C(=O)C1CC1,3.47213,0.97968,0.862,5.9979,77.93,-0.2648,-0.0344,0.2304,1370.9799,0.146234,-401.971788,-401.962301,-401.961357,-402.007206,33.585
gdb_13921,C1CC2(C1)C(=O)CN2,3.38048,1.93138,1.54907,2.5089,68.76,-0.2367,-0.023,0.2137,873.0318,0.142605,-363.84598,-363.838635,-363.837691,-363.877734,27.763
gdb_48391,O=CC1(CC2CN12)C#N,2.32184,1.72352,1.2419,3.4687,70.16,-0.2721,-0.0671,0.205,1007.3853,0.11176,-416.768992,-416.761028,-416.760084,-416.80178,29.164
gdb_5206,CC#Cc1ccco1,8.77427,1.01743,0.91693,0.6215,80.08,-0.2057,-0.0113,0.1944,1229.2443,0.107193,-345.414833,-345.407236,-345.406292,-345.448811,26.457
gdb_115440,OCC1COC(C1)C#N,4.57407,0.90019,0.85244,4.9941,71.83,-0.2808,0.0162,0.297,1353.9139,0.148358,-439.09392,-439.085056,-439.084112,-439.128542,31.86
gdb_18767,C1OC23COC2CC13,3.88874,2.30996,1.75113,1.7335,63.81,-0.2415,0.057,0.2985,761.6153,0.131649,-383.670806,-383.664626,-383.663682,-383.700971,24.47
gdb_112156,CCC1CC(=O)C(C)=C1,3.02456,1.04699,0.82527,3.2971,87.04,-0.2333,-0.0374,0.1959,1451.0664,0.181734,-387.14651,-387.136824,-387.13588,-387.181725,35.278
gdb_69310,CC1(O)C=CC2(O)CC12,2.94951,1.33933,1.27519,2.4291,76.45,-0.2336,0.0087,0.2423,1090.7699,0.157298,-423.014604,-423.005721,-423.004777,-423.047285,35.116
gdb_59964,CC(C)OC(C)C(C)=O,2.60373,0.94694,0.82988,2.9107,83.0,-0.2374,-0.0105,0.2269,1532.3687,0.200586,-425.453566,-425.441951,-425.441007,-425.49185,41.086
gdb_35144,C#CC1OC(C=C1)C#N,4.93677,0.99227,0.8934,4.4069,74.16,-0.2796,-0.0227,0.2569,1241.2325,0.099794,-399.5145,-399.506409,-399.505465,-399.547967,29.338
gdb_98093,CNC(=N)C(=O)C1CO1,4.30346,0.90835,0.79196,1.214,72.84,-0.2345,-0.0683,0.1662,1434.1376,0.134567,-455.131727,-455.122112,-455.121168,-455.167527,33.098
